,vid_name,channel_name,publishedAt ,views,likes,commentCount,vidID,Playlist_id,Playlist_name
597,Doja Cat - Say So (Live Performance) | Vevo LIFT,dojacatVEVO,2020-05-04T16:00:08Z,13789050,393387,16153,6UK85MH5PmY,PLjL_xsNpjUANEEEASHIifuLOYMeX3NGKW,Vevo LIFT
598,Doja Cat - Streets (Live Performance) | Vevo LIFT,dojacatVEVO,2020-03-05T20:00:01Z,39467383,799864,21678,0hD-Z1q_ZyI,PLjL_xsNpjUANEEEASHIifuLOYMeX3NGKW,Vevo LIFT
599,"Doja Cat ""Juicy"" Official Lyrics & Meaning | Verified",Genius,2019-10-02T15:59:14Z,11988570,352414,12159,6HgDa0RcZ0I,PLjL_xsNpjUAOaOicl3xX6OZT1UK18c9Pe,Doja Apperances
600,Recreating Fire Doja Cat Looks (Judged by Doja!!) ~ NAYVA Ep #35 ~ FASHION & BEAUTY,NAYVA,2019-07-16T19:00:00Z,1311107,50336,2022,-DrLcxg9hyw,PLjL_xsNpjUAOaOicl3xX6OZT1UK18c9Pe,Doja Apperances
601,"Doja Cat talks New Album, Smoking 10 Blunts A Day, Situationship | Bootleg Kev & DJ Hed",REAL 92.3 LA,2019-06-22T03:27:44Z,156158,2289,366,4tRS8_wd6yE,PLjL_xsNpjUAOaOicl3xX6OZT1UK18c9Pe,Doja Apperances
602,"Doja Cat Explains ""Thicker Than A Snicker"" | Arts & Raps | All Def Music",All Def Music,2019-06-27T19:00:02Z,7284402,163344,5157,SqZND30FIBc,PLjL_xsNpjUAOaOicl3xX6OZT1UK18c9Pe,Doja Apperances
603,"Doja Cat & Rico Nasty ""Tia Tamera"" Official Lyrics & Meaning | Verified",Genius,2019-03-06T17:21:56Z,9199392,322294,11152,791ed4Htl4U,PLjL_xsNpjUAOaOicl3xX6OZT1UK18c9Pe,Doja Apperances
604,"Doja Cat Reacts To Adults React To Doja Cat (I'm a Cow, Tia Tamera)",REACT,2019-03-10T21:00:05Z,5496946,172291,4049,p6UF3FkTeuI,PLjL_xsNpjUAOaOicl3xX6OZT1UK18c9Pe,Doja Apperances
605,"Doja Cat ""Mooo!"" Official Lyrics & Meaning | Verified",Genius,2018-08-23T16:22:51Z,13494602,502679,22317,atgEfJIWpBY,PLjL_xsNpjUAOaOicl3xX6OZT1UK18c9Pe,Doja Apperances
606,Artist Relations with Doja Cat | All Def Music,All Def Music,2019-08-07T16:00:08Z,526017,17297,488,ZxkqUfih93E,PLjL_xsNpjUAOaOicl3xX6OZT1UK18c9Pe,Doja Apperances
607,Doja Cat | Nail Swag | All Def Music,All Def Music,2019-07-03T16:00:02Z,1222335,36051,1302,HiRUvEdqpTY,PLjL_xsNpjUAOaOicl3xX6OZT1UK18c9Pe,Doja Apperances
608,"Doja Cat ""Go To Town"" Official Lyrics & Meaning | Verified",Genius,2018-06-22T16:02:06Z,2857511,82766,2690,SyJd7Ef5jz8,PLjL_xsNpjUAOaOicl3xX6OZT1UK18c9Pe,Doja Apperances
609,Doja Cat | Show & Tell,NME,2019-03-19T18:00:02Z,549125,16726,589,GVk0wkkLdv8,PLjL_xsNpjUAOaOicl3xX6OZT1UK18c9Pe,Doja Apperances
